Archivo,WER,Inserciones,Sustituciones,Eliminaciones,Transcripción Oficial,Transcripción Whisper
10667_6706_000010.txt,0.21428571428571427,0,9,0,rica pata la pata pedrito y volaba lejos hasta que vio debajo de él muy abajo el río paraná que parecía una lejana y ancha cinta blanca y siguió siguió volando hasta que se asentó por fin en un árbol a descansar,"Rica, papa, la pata Pedrito y volaba lejos hasta que vio debajo de él, muy abajo, el río Paraná, que parecía una lejana y ancha cinta blanca, y siguió, siguió volando hasta que se asentó por fin en un árbol a descansar."
10667_6706_000013.txt,0.35135135135135137,3,10,0,cuando el tiempo se componía volaba entonces gritando como un loco era como se ve un loro bien feliz que además de ser libre como lo desean todos los pájaros tenía también como las personas ricas su,"Cuando el tiempo se componía, volaba entonces gritando como un loco. Era, como se ve, un loro bien feliz, que además de ser libre, como lo desean todos los pájaros, tenía también, como las personas ricas, su five o'clock tea."
10667_6706_000028.txt,0.14634146341463414,0,6,0,cómo iba a presentarse en el comedor con esa figura voló entonces hasta el hueco que había en el tronco de un eucalipto y que era como una cueva y se escondió en el fondo tiritando de frío y de vergüenza,"¿Cómo iba a presentarse en el comedor con esa figura? Voló entonces hasta el hueco que había en el tronco de un eucalipto y que era como una cueva, y se escondió en el fondo, tiritando de frío y de vergüenza."
10667_6706_000033.txt,0.5384615384615384,0,14,0,rica papa le decía querés té con leche la papa para el tigre y todos se morían de risa y pedrito también fin del loro pelado,"Rica papa, le decía. ¿Querés té con leche? La papa para el tigre. Y todos se morían de risa. Y Pedrito también. Fin del loro pelado."
10667_6706_000040.txt,0.1875,0,9,0,el tigre enojadísimo al reconocer a aquel loro pelado que él creía haber muerto y que tenía otra vez lindísimas plumas juró que esta vez no se le escaparía y de sus ojos brotaron dos rayos de ira cuando respondió con su voz ronca acercate más soy sordo,"El tigre, enojadísimo al reconocer a aquel loro pelado que él creía haber muerto y que tenía otra vez lindísimas plumas, juró que esta vez no se le escaparía, y de sus ojos brotaron dos rayos de ira cuando respondió con su voz ronca. ¡Acércate más! ¡Soy sordo!"
10667_6706_000046.txt,0.16216216216216217,0,6,0,un día un hombre bajó de un tiro a un loro centinela el que cayó herido y peleó un buen rato antes de dejarse agarrar el peón lo llevó a la casa para los hijos del patrón,"Un día un hombre bajó de un tiro a un loro centinela, el que cayó herido y peleó un buen rato antes de dejarse agarrar. El peón lo llevó a la casa, para los hijos del patrón."
10667_9310_000005.txt,0.2926829268292683,0,12,0,fagin nada respondió á ese cumplido adulador pero tirando á sikes por la manga le señaló con el dedo á nancy que habiéndose aprovechado del momento en que ellos hablaban para ponerse su sombrero se disponía a salir nancy gritó sikes,"Fahim nada respondió a ese cumplido adulador, pero tirando a Sykes por la manga, le señaló con el dedo a Nancy, que habiéndose aprovechado del momento en que ellos hablaban para ponerse su sombrero, se disponía a salir. Nancy, gritó Sykes."
10667_9310_000007.txt,0.2765957446808511,0,13,0,al llegar a la puerta se paró y lanzando una mirada á su alrededor preguntó si había alguno que quisiera alumbrarle para bajar alúmbrale nancy dijo sikes rellenando su pipa sería una lastima que se rompiera el bautismo privaría a los espectadores del placer de verle colgar,"Al llegar a la puerta, se paró y lanzando una mirada a su alrededor preguntó si había alguno que quisiera alumbrarle para bajar. Alúmbrale Nancy, dijo Sykes rellenando su pipa. Sería una lástima que se rompiera el bautismo. Privaría a los espectadores del placer de verle colgar."
10667_9310_000011.txt,0.32432432432432434,0,12,0,ahora añadió el bandido te digo otra vez que te sientes y permanezcas tranquila estamos seguramente no sería un sombrero el que me impediría salir dijo la joven palideciendo qué significa esto guillermo sabes lo que haces,"Ahora, añadió el bandido, te digo otra vez que te sientes y permanezcas tranquila. ¿Estamos? Seguramente no sería un sombrero el que me impediría salir, dijo la joven palideciendo. ¿Qué significa esto, Guillermo? ¿Sabes lo que haces?"
10667_9310_000045.txt,0.3409090909090909,0,15,0,dónde está carlota ha salido la he mandado á una comision fuera de casa con la otra joven porque necesitaba estar solo con vos hubierais debido encargarla que antes me hiciera tostadas de pan con manteca y bien hablad hablad siempre no me interrumpiréis,"¿Dónde está Carlota? Ha salido. La he mandado a una comisión fuera de casa con la otra joven porque necesitaba estar solo con vos. Hubierais debido encargarla que antes me hiciera tostadas de pan con manteca. Y bien, hablad, hablad siempre, no me interrumpiréis."
10667_9310_000070.txt,0.36363636363636365,0,11,1,el caballero se volvió como para prepararse a  partir tomad esta bolsa exclamó rosa guardadla por amor de mi y para que tengáis algún recurso en la necesidad no no contestó la joven,"El caballero se volvió como para prepararse a partir. Tomad esta bolsa, exclamó Rosa. Guardadla por amor de mí para que tengáis algún recurso en la necesidad. No, no, contestó la joven."
10667_9310_000079.txt,0.20408163265306123,0,10,0,y si llega a denunciar a los otros preguntó nancy os prometo que en el caso que podamos obtener de él la verdad arrancándole su secreto no se tratará de esto puede haber en la historia del niño oliverio particularidades que sería penoso someter a la vista del público,"¿Y si llega a denunciar a los otros? Preguntó Nancy. Os prometo que en el caso que podamos obtener de él la verdad arrancándole su secreto, no se tratará de esto. Puede haber en la historia del niño Oliverio particularidades que sería penoso someter a la vista del público."
10667_9310_000106.txt,0.2558139534883721,0,11,0,dijo nancy después de otro momento de silencio acepto vuestra palabra y me entrego enteramente a vosotros después de obtenida la seguridad de rosa y del caballero que podia estar perfectamente tranquila empezó con voz tan baja que el espía apenas podia oírla,"Dijo Nancy después de otro momento de silencio. Acepto vuestra palabra y me entrego enteramente a vosotros. Después de obtenida la seguridad de Rosa y del caballero que podía estar perfectamente tranquila, empezó con voz tan baja que el espía apenas podía oírla."
11168_11957_000031.txt,0.27906976744186046,0,12,0,en tiempos del señor lombroso teníamos en efecto unos cerebros especiales y cuando queríamos trabajar buscábamos de acuerdo con nuestros gustos particulares o según la inspiración del momento un hacha un cuchillo un revólver o una maza hoy en cambio buscamos un cerebro,"En tiempos del señor Lombroso teníamos, en efecto, unos cerebros especiales y cuando queríamos trabajar buscábamos, de acuerdo con nuestros gustos particulares o según la inspiración del momento, un hacha, un cuchillo, un revólver o una masa. Hoy, en cambio, buscamos un cerebro."
11168_11957_000034.txt,0.30303030303030304,1,9,0,puede con poco esfuerzo producir ingresos suficientes para cubrir todas las necesidades de un buen padre de familia conque asesino exclamé yo con una amabilidad que quizá no fuese completamente espontánea muy interesante,"Puede, con poco esfuerzo, producir ingresos suficientes para cubrir todas las necesidades de un buen padre de familia. ¿Con qué asesino? exclamé yo, con una amabilidad que quizá no fuese completamente espontánea. Muy interesante."
11168_11991_000006.txt,0.23333333333333334,0,14,0,aportaron de un colegio de exeter todo el bagaje de perfiles y detalles en boga y se dedicaban como tantas otras señoritas a vivir a la moda felices y alegres a sus vestidos no había falta que ponerles sus rostros más bien eran lindos su modo de ser franco y afable sus ademanes desenvueltos y simpáticos eran dignas y afectuosas,"Aportaron de un colegio de Exeter todo el bagaje de perfiles y detalles en boga y se dedicaban, como tantas otras señoritas, a vivir a la moda, felices y alegres. A sus vestidos no había falta que ponerles. Sus rostros más bien eran lindos, su modo de ser franco y afable, sus ademanes desenvueltos y simpáticos. Eran dignas y afectuosas."
11168_11991_000022.txt,0.984375,0,5,58,en su casa y estimadísimas fuera de ella ana las miraba siempre como a los seres más dichosos que conocía sin embargo por esa grata sensación de superioridad que solemos experimentar y que nos mueve a ahuyentar todo anhelo de cambio posible no hubiera ana pensado en trocar su más fino y cultivado entendimiento por todos los placeres que disfrutaban ellas y si algo,Usa un tono profesional y organizado.
11168_11991_000032.txt,0.1875,0,6,0,si bien al volver encontró más natural el lamentar haber perdido la oportunidad de conocerlos aquella entrevista de las dos partes tuvo un resultado altamente satisfactorio y decidió el trato por completo,"Si bien, al volver, encontró más natural el lamentar haber perdido la oportunidad de conocerlos. Aquella entrevista de las dos partes tuvo un resultado altamente satisfactorio y decidió el trato por completo."
11168_11991_000035.txt,0.15254237288135594,1,8,0,joven hidalgo la primitiva granja habíase elevado a la categoría de quinta para que le sirviera de residencia así es que la quinta de uppercross con su balaustrada sus ventanas a la francesa y algunas otras monadas podía cautivar la mirada del viajero tanto como el aspecto respetable y la solemne prospopeya de la casa grande situada a un,"El joven Hidalgo, la primitiva granja había elevado a la categoría de quinta, para que le sirviera de residencia. Así es que la quinta de Uppercross, con su balaustrada, sus ventanas a la francesa y algunas otras monadas, podía cautivar la mirada del viajero tanto como el aspecto respetable y la solemne prospopeya de la casa grande situada a un"
11168_9310_000001.txt,0.2413793103448276,0,7,0,dejadme arrojando al viejo lejos de él se abalanzó fuera del aposento y se precipitó por la escalera como un furioso guillermo guillermo exclamó el judío corriendo tras él,"¡Dejadme! Arrojando al viejo lejos de él, se abalanzó fuera del aposento y se precipitó por la escalera como un furioso. ¡Guillermo! ¡Guillermo! exclamó el judío corriendo tras él."
11168_9310_000014.txt,0.1320754716981132,0,7,0,el ojo extraviado la respiración corta y las ventanas de la nariz hinchadas el bandido la contempló un momento en silencio luego agarrándola por la cabeza y por el cuello la arrastró al medio del aposento y le puso la mano sobre la boca después de haber lanzado una mirada hacia la puerta,"El ojo extraviado, la respiración corta y las ventanas de la nariz hinchadas, el bandido la contempló un momento en silencio. Luego, agarrándola por la cabeza y por el cuello, la arrastró al medio del aposento y le puso la mano sobre la boca después de haber lanzado una mirada hacia la puerta."
11266_10604_000005.txt,0.32,0,8,0,como todas las penas aunque tantas son una sola pena una sola infinita soberana la pena de vivir llevando al todo temblando ante la nada,"Como todas las penas, aunque tantas, son una sola pena, una sola, infinita, soberana, la pena de vivir llevando al todo temblando ante la nada."
11266_10604_000041.txt,0.24390243902439024,0,10,0,más triste la suerte de tu dios que no la tuya los dioses lloran los dioses lloran cuando muere el perro que les lamió las manos que les miró á los ojos y al mirarles asi les preguntaba á dónde vamos,"Más triste la suerte de tu dios que no la tuya. Los dioses lloran, los dioses lloran cuando muere el perro que les lamió las manos, que les miró a los ojos y al mirarles así les preguntaba, ¿a dónde vamos?"
11266_10604_000062.txt,0.15789473684210525,0,3,0,tener dentro del alma hijos que viven atormentados que te piden la luz y tú no logras darles descanso,"Tener dentro del alma hijos que viven atormentados, que te piden la luz y tú no logras darles descanso."
11266_10604_000069.txt,0.29411764705882354,0,10,0,abrázate al dolor eternizado abrázate a la cruz que se levanta por cima de los mundos abrázate a ella y calla callemos ya mi amor en el silencio la dulcedumbre de la pena guarda,"Abrázate al dolor eternizado. Abrázate a la cruz que se levanta por cima de los mundos. Abrázate a ella y calla. Callemos ya, mi amor, en el silencio la dulcedumbre de la pena guarda."
11266_10604_000076.txt,0.3103448275862069,0,9,0,si tú no te perdonas no te perdona dios perdónate si en paz no vives contigo mismo si no consigues paz en tu pecho no te dará dios paz,"Si tú no te perdonas, no te perdona Dios. Perdónate. Si en paz no vives contigo mismo, si no consigues paz en tu pecho, no te dará Dios paz."
12249_11991_000006.txt,0.24390243902439024,2,8,0,no se habían cansado de ver y de admirar ni siquiera luisa parecía darse cuenta del tiempo que llevaban separados del capitán cuando le vieron venir hacia ellos acompañado de otras tres personas a las que ya conocían por referencias de,"No se habían cansado de ver y de admirar. Ni siquiera Luis aparecía a darse cuenta del tiempo que llevaban separados del capitán. Cuando le vieron venir hacia ellos acompañado de otras tres personas, a las que ya conocían por referencias de Wentworth,"
12249_11991_000015.txt,0.20588235294117646,1,6,0,por fin la descripción de la hermosa campiña que rodea a lyme fué escuchada por la reunión con tal curiosidad que se les despertó el deseo impaciente de ver lyme y a ocurrencia de,"Por fin, la descripción de la hermosa campiña que rodea a Lime fue escuchada por la reunión con tal curiosidad que se les despertó el deseo impaciente de ver Lime. Y a ocurrencia de ella."
12249_11991_000032.txt,0.12195121951219512,0,5,0,que para ir y volver exigía el estado del camino era necesario que pasaran allí la noche y no estarían de regreso hasta el día siguiente a la hora de comer lo cual era una modificación de importancia en el plan,"Que para ir y volver exigía el estado del camino. Era necesario que pasaran allí la noche y no estarían de regreso hasta el día siguiente a la hora de comer, lo cual era una modificación de importancia en el plan."
12249_11991_000045.txt,0.2962962962962963,0,8,0,el capitán harville era un hombre de elevada estatura cetrino de continente afectuoso y dulce estaba algo parecido y sus pronunciadas facciones y su falta de salud,"El Capitán Harville era un hombre de elevada estatura, cetrino, de continente afectuoso y dulce. Estaba algo parecido y sus pronunciadas facciones y su falta de salud..."
12249_11991_000048.txt,0.2,0,4,0,le hacían aparecer como mucho más viejo que el capitán wentworth benwik representaba ser el más joven de los tres,Le hacían aparecer como mucho más viejo que el capitán Wentworth. Benwick representaba ser el más joven de los tres.
12249_11991_000075.txt,0.23809523809523808,0,5,0,allí se detuvieron como siempre se detiene estático todo el que mereciendo gozar de su contemplación llega de nuevo al mar,"Alí se detuvieran como siempre se detiene, estático, todo el que mereciendo gozar de su contemplación llega de nuevo al mar."
12249_11991_000087.txt,0.13157894736842105,0,5,0,solo quedaba alguna familia de las que allí residían mas si nada había digno de verse en cuestión de edificios la curiosa situación de la ciudad cuya principal vía corre hasta el agua misma el paseo al cob,"Sólo quedaba alguna familia de las que allí residían, mas si nada había digno de verse en cuestión de edificios, la curiosa situación de la ciudad cuya principal vía corre hasta el agua misma, el paseo al Cobb."
12249_11991_000089.txt,0.15625,0,5,0,dispuestos por el propietario con algunos trabajos en maderas de raras especies y con buen número de valiosas curiosidades procedentes de los apartados países que harville había visitado divertía mucho a ana,"Dispuestos por el propietario, con algunos trabajos en maderas de raras especies y con buen número de valiosas curiosidades procedentes de los apartados países que Harville había visitado, divertía mucho a Anna."
12249_11991_000095.txt,0.7333333333333333,0,7,15,en porte ni modales era un caballero distingüido natural efusivo y amable aunque no tan fina como su marido la señora de harville poseía al parecer la misma condición bondadosa,"El señor Harville, como la señora de Harville poseía, al parecer, la misma condición bondadosa."
12525_11991_000003.txt,0.24324324324324326,1,8,0,en vez de ocuparse en sus quehaceres andan todo el día correteando por el pueblo dondequiera que vaya me las encuentro y no entro dos veces en el cuarto de los chicos que no las vea ahí,"En vez de ocuparse en sus quehaceres, andan todo el día correteando por el pueblo. Donde quiera que vaya, me las encuentro, y no entro dos veces en el cuarto de los chicos que no las ve ahí."
12525_11991_000013.txt,0.36363636363636365,0,8,0,de este modo pasaron tres semanas llegó el día de san miguel y el corazón de ana voló de nuevo a kellynch,"De este modo, pasaron tres semanas. Llegó el día de San Miguel y el corazón de Ana voló de nuevo a Kellynch."
12525_11991_000014.txt,0.19444444444444445,0,7,0,siempre que allí venía recibía esa impresión y lamentaba que los otros elliot no recogiesen la enseñanza de ver cuán menospreciadas o inadvertidas pasaban allí las cuestiones a que ellos concedían pública estima y atención preferente,"Siempre que ahí venía, recibía esa impresión, y lamentaba que los otros Elliot no recogiesen la enseñanza de ver cuán menospreciadas o inadvertidas pasaban ahí las cuestiones a que ellos concedían pública estima y atención preferente."
12525_11991_000015.txt,0.13636363636363635,0,3,0,sabía muy bien que cuando tocaba a nadie agradaba más que a sí misma pero esta impresión no era en ella nueva,"Sabía muy bien que cuando tocaba a nadie agradaba más que a sí misma, pero esta impresión no era en ella nueva."
12525_11991_000030.txt,0.14285714285714285,0,6,0,siguió la tranquilidad durante todo el resto de la visita pero en el instante preciso de levantarse oyó que el almirante dijo a maría esperamos de un momento a otro a un hermano de mi mujer seguramente que recuerda usted su nombre,"Siguió la tranquilidad durante todo el resto de la visita, pero en el instante preciso de levantarse oyó que el almirante dijo a María, «Esperamos de un momento a otro a un hermano de mi mujer, seguramente que recuerda usted su nombre»."
12525_11991_000052.txt,0.26666666666666666,0,8,0,comprendió ésta no obstante que le era necesario habituarse desde el momento en que se esperaba al capitán en la comarca precisaba que ana dominara su sensibilidad en este punto,"Comprendió ésta, no obstante, que le era necesario habituarse. Desde el momento en que se esperaba al capitán en la comarca, precisaba que Ana dominara su sensibilidad en este punto."
12525_11991_000063.txt,0.19444444444444445,0,7,0,no era preciso que ana viniera de nuevo a uppercross para cerciorarse de que un cambio de medio siquiera sea en el espacio de tres millas puede implicar una total mudanza de conversaciones ideas y pareceres,"No era preciso que Anna viniera de nuevo a Uppercross para cerciorarse de que un cambio de medio, siquiera sea en el espacio de tres millas, puede implicar una total mudanza de conversaciones, ideas y pareceres."
12525_11991_000069.txt,0.15625,0,5,0,por eso es preciso que estemos todo lo alegres que podamos con objeto de distraerla de esos pensamientos lúgubres la verdad de lo ocurrido en este patético fragmento de la historia familiar,"Por eso es preciso que estemos todo lo alegres que podamos, con objeto de distraerla de esos pensamientos lúgubres. La verdad de lo ocurrido en este patético fragmento de la historia familiar."
12525_11991_000073.txt,0.9117647058823529,0,12,19,que surgían entre ambas casas como era reconocido el ascendiente que sobre su hermana ejercía rogábasele a menudo o se le insinuaba que lo empleara más allá de lo que estaba en su mano,El asistente es un hombre que se ha convertido en un hombre de la vida.
12525_11991_000078.txt,0.1282051282051282,0,5,0,fue el primer negro pensamiento que surgió en la mente de maría y disponíase ya a enfadarse cuando luisa lo explicó todo diciendo que si venía a pie era para dejar sitio al arpa que traían en el coche,"Fue el primer negro pensamiento que surgió en la mente de María y disponíase ya a enfadarse cuando Luisa lo explicó todo, diciendo que si venía a pie era para dejar sitio al arpa que traían en el coche."
12525_11991_000091.txt,0.17073170731707318,1,6,0,ya se empezaba a aguzar el oído con objeto de percibir el ruido del coche cuando hizo su entrada la menor de las miusgrove que venía a excusar a los demás y que por tanto habrían de consumir la tarde solas,"Ya se empezaba a agusar el oído con el objeto de percibir el ruido del coche cuando hizo su entrada la menor de las Musgrove, que venía a excusar a los demás y que, por tanto, habrían de consumir la tarde solas."
1448_567_000019.txt,0.35714285714285715,0,7,3,por las letras del a b c comenzando en aristóteles y acabando en xenofonte y en zoílo o zeuxis aunque fue maldiciente el uno y pintor el otro,"Por las letras del ABC, comenzando en Aristóteles y acabando en Xenofonte, en Zoilo o Seuxis, aunque fue maldiciente el uno y pintor el otro."
1448_567_000021.txt,0.3018867924528302,0,15,1,si nombráis algún gigante en vuestro libro hacedle que sea el gigante golías y con solo esto que os costará casi nada tenéis una grande anotación pues podéis poner el gigante golías o goliat fue un filisteo a quien el pastor david mató de una gran pedrada en el valle de de terebinto,"Si nombráis algún gigante en vuestro libro, hacedle que sea el gigante Golías. Y con sólo esto, que os costará casi nada, tenéis una gran denotación, pues podéis poner, el gigante Golías o Goliat fue un filisteo de quien el pastor David mató de una gran pedrada en el valle de Terebinto."
1448_567_000028.txt,0.20689655172413793,0,6,0,con todos mis años a cuestas con una leyenda seca como un esparto ajena de invención menguada de estilo pobre de conceptos y falta de toda erudición y doctrina,"Con todos mis años a cuestas, con una leyenda seca como un esparto, ajena de invención, menguada de estilo, pobre de conceptos y falta de toda erudición y doctrina."
1448_567_000031.txt,0.24324324324324326,0,9,0,en fin señor y amigo mío proseguí yo determino que el señor don quijote se quede sepultado en los archivos en la mancha hasta que el cielo depare quien le adorne de tantas cosas como le faltan,"En fin, señor y amigo mío, proseguí. Yo determino que el señor Don Quijote se quede sepultado en los archivos en la mancha, hasta que el cielo depare quien le adorne de tantas cosas como le faltan."
1448_567_000037.txt,0.21568627450980393,2,9,0,a la fe esto no nace de falta de habilidad sino de sobra de pereza y penuria de discurso queréis ver si es verdad lo que digo pues estadme atento y veréis cómo en un abrir y cerrar de ojos confundo todas vuestras dificultades y remedio todas las faltas que decís,"A la fe, esto no nace de falta de habilidad, sino de sobra de pereza y penuria de discurso. ¿Queréis ver si es verdad lo que digo? Pues estadme atento y veréis cómo, en un abrir y cerrar de ojos, confundo todas vuestras dificultades y remedio todas las faltas que decís o no."
1448_567_000039.txt,0.125,1,3,0,para que su sombra aunque desnudo de aquel precioso ornamento de elegancia y erudición de que suelen andar vestidas las obras que se componen en las casas de los hombres que saben,"Para que a su sombra, aunque desnudo de aquel precioso ornamento de elegancia y erudición de que suelen andar vestidas las obras que se componen en las casas de los hombres que saben,"
1448_567_000058.txt,0.23684210526315788,2,7,0,y muchas la dejé por no saber lo que escribiría y estando una suspenso con el papel delante la pluma en la oreja el codo en el bufete y la mano en la mejilla pensando lo que diría,"Y muchas veces la dejé por no saber lo que escribía. Y estando en una suspenso con el papel delante, la pluma en la oreja, el codo en el bufete y la mano en la mejilla, pensando lo que diría."
1448_567_000063.txt,0.13043478260869565,0,6,0,acontece tener un padre un hijo feo y sin gracia alguna y el amor que le tiene pone una venda en los ojos para que no vea sus faltas antes las juzga por discreciones y lindezas y las cuenta a sus amigos por agudezas y donaires,"Acontece tener un padre, un hijo feo y sin gracia alguna, y el amor que le tiene pone una venda en los ojos para que no vea sus faltas. Antes las juzga por discreciones y lindezas y las cuenta a sus amigos por agudezas y donaires."
1448_567_000069.txt,0.2857142857142857,0,8,0,ya la azada o la hoz poco repugna al andante ejercicio ya está en uso la llaneza escudera con que acuso al soberbio que intenta hollar la luna,"Ya la asada o la hoz poco repugna, al andante ejercicio. Ya está en uso la llanesa escudera, con que acuso al soberbio que intenta hollar la luna."
1448_567_000087.txt,0.35,0,13,1,entró a deshora un amigo mío gracioso y bien entendido el cual viéndome tan imaginativo me preguntó la causa y no encubriéndosela yo le dije que pensaba en el prólogo que había de hacer a la historia de don quijote,"Entró al adesor amigo mío, gracioso y bien entendido, el cual, viéndome tan imaginativo, me preguntó la causa. Y no encubriéndosela yo, le dije que pensaba en el prólogo que había de hacerle a la historia de Don Quijote."
1448_567_000091.txt,0.7948717948717948,0,5,26,y con esto dios te dé salud y a mí no olvide vale al libro de don quijote de la mancha urganda la desconocida si de llegarte a los bue libro fueres con letu no te dirá el boquirrú,"Y con esto, Dios te dé salud y a mí no olvide. Vale."
3468_1378_000012.txt,0.21052631578947367,0,8,0,y si acaso le dan otros manjares de palacio los recibe con melindre y algunas veces con asco lo que el maestresala puede hacer es traerme estas que llaman ollas podridas que mientras más podridas son mejor huelen,"Y, si acaso le dan otros manjares de palacio, lo recibe con melindre y algunas veces con asco. Lo que el maestresala puede hacer es traerme estas que llaman ollas podridas, que mientras más podridas son, mejor huelen."
